conversationId	turnNumber	utteranceId	utterance	slot-labels	intent
009ab879-ab52-4507-979e-8bc92badecef	1	<CONV>009ab879-ab52-4507-979e-8bc92badecef<TURN>1	higood morning	O O	openinggreeting
009ab879-ab52-4507-979e-8bc92badecef	2	<CONV>009ab879-ab52-4507-979e-8bc92badecef<TURN>2	i wants to book a ticket for flight	O O O O O O O O	bookflight
009ab879-ab52-4507-979e-8bc92badecef	4	<CONV>009ab879-ab52-4507-979e-8bc92badecef<TURN>4	kavisri	name	contentonly
009ab879-ab52-4507-979e-8bc92badecef	6	<CONV>009ab879-ab52-4507-979e-8bc92badecef<TURN>6	thailand and singapore	departure_city O arrival_city	contentonly
009ab879-ab52-4507-979e-8bc92badecef	8	<CONV>009ab879-ab52-4507-979e-8bc92badecef<TURN>8	ok	O	bookflight
009ab879-ab52-4507-979e-8bc92badecef	10	<CONV>009ab879-ab52-4507-979e-8bc92badecef<TURN>10	yes	O	confirmation
009ab879-ab52-4507-979e-8bc92badecef	12	<CONV>009ab879-ab52-4507-979e-8bc92badecef<TURN>12	kavigmailcom and five passengers	email_address O number_of_passengers O	contentonly
009ab879-ab52-4507-979e-8bc92badecef	14	<CONV>009ab879-ab52-4507-979e-8bc92badecef<TURN>14	ok	O	bookflight
009ab879-ab52-4507-979e-8bc92badecef	16	<CONV>009ab879-ab52-4507-979e-8bc92badecef<TURN>16	ok thank you very much	O O O O O	thankyou
009ab879-ab52-4507-979e-8bc92badecef	18	<CONV>009ab879-ab52-4507-979e-8bc92badecef<TURN>18	ok have a nice day	O O O O O	closinggreeting
380d5668-f930-44f3-8b88-543f5db48924	0	<CONV>380d5668-f930-44f3-8b88-543f5db48924<TURN>0	hi	O	openinggreeting
380d5668-f930-44f3-8b88-543f5db48924	2	<CONV>380d5668-f930-44f3-8b88-543f5db48924<TURN>2	i went to know my sent no	O O O O O O O	getseatinfo
380d5668-f930-44f3-8b88-543f5db48924	4	<CONV>380d5668-f930-44f3-8b88-543f5db48924<TURN>4	my name ramn booking confirmation kyf 176	O O O O O booking_confirmation_number booking_confirmation_number	contentonly
380d5668-f930-44f3-8b88-543f5db48924	6	<CONV>380d5668-f930-44f3-8b88-543f5db48924<TURN>6	ok	O	contentonly
380d5668-f930-44f3-8b88-543f5db48924	8	<CONV>380d5668-f930-44f3-8b88-543f5db48924<TURN>8	no thanks	O O	rejection
3144c574-accc-4d97-9d59-5f73456b8daf	1	<CONV>3144c574-accc-4d97-9d59-5f73456b8daf<TURN>1	hi	O	bookflight
3144c574-accc-4d97-9d59-5f73456b8daf	2	<CONV>3144c574-accc-4d97-9d59-5f73456b8daf<TURN>2	i want to book a flight from bangalore to chennai	O O O O O O O O O departure_city	bookflight
3144c574-accc-4d97-9d59-5f73456b8daf	4	<CONV>3144c574-accc-4d97-9d59-5f73456b8daf<TURN>4	karan bling	name name	contentonly
3144c574-accc-4d97-9d59-5f73456b8daf	6	<CONV>3144c574-accc-4d97-9d59-5f73456b8daf<TURN>6	around 2025 october i am somewhat flexible with the dates	O arrival_time arrival_time O O O O O O O	contentonly
3144c574-accc-4d97-9d59-5f73456b8daf	8	<CONV>3144c574-accc-4d97-9d59-5f73456b8daf<TURN>8	thats great i want to book this flight please confirm it	O O O O O O O O O O O	bookflight
3144c574-accc-4d97-9d59-5f73456b8daf	10	<CONV>3144c574-accc-4d97-9d59-5f73456b8daf<TURN>10	sure my email is karnhghgjcom and only 1 passesnger	O O O O email_address O O number_of_passengers O	contentonly
3144c574-accc-4d97-9d59-5f73456b8daf	12	<CONV>3144c574-accc-4d97-9d59-5f73456b8daf<TURN>12	sure thanks	O O	confirmation
