conversationId	turnNumber	sentenceNumber	utteranceId	utterance	slot-labels	intent
15592755-d744-445f-a86e-552dc08e0aa5	0	0	<CONV>15592755-d744-445f-a86e-552dc08e0aa5<TURN>0<SENT>0	hello	O	openinggreeting
15592755-d744-445f-a86e-552dc08e0aa5	2	0	<CONV>15592755-d744-445f-a86e-552dc08e0aa5<TURN>2<SENT>0	i would like to purchase the internet connection	O O O O O O service_type O	startserviceintent
15592755-d744-445f-a86e-552dc08e0aa5	4	0	<CONV>15592755-d744-445f-a86e-552dc08e0aa5<TURN>4<SENT>0	washington 20001	current_city current_zipcode	contentonly
15592755-d744-445f-a86e-552dc08e0aa5	6	0	<CONV>15592755-d744-445f-a86e-552dc08e0aa5<TURN>6<SENT>0	10 gb okab	datacategoryvalues datacategoryvalues O	contentonly
15592755-d744-445f-a86e-552dc08e0aa5	7	0	<CONV>15592755-d744-445f-a86e-552dc08e0aa5<TURN>7<SENT>0	10 gb plan	datacategoryvalues datacategoryvalues O	contentonly
15592755-d744-445f-a86e-552dc08e0aa5	8	0	<CONV>15592755-d744-445f-a86e-552dc08e0aa5<TURN>8<SENT>0		O	outofdomain
15592755-d744-445f-a86e-552dc08e0aa5	10	0	<CONV>15592755-d744-445f-a86e-552dc08e0aa5<TURN>10<SENT>0	okay	O	confirmation
15592755-d744-445f-a86e-552dc08e0aa5	12	0	<CONV>15592755-d744-445f-a86e-552dc08e0aa5<TURN>12<SENT>0	nothing	O	rejection
2d967655-4a7a-47c9-85a9-f0c1083c2f07	0	0	<CONV>2d967655-4a7a-47c9-85a9-f0c1083c2f07<TURN>0<SENT>0	hi	O	openinggreeting
2d967655-4a7a-47c9-85a9-f0c1083c2f07	2	0	<CONV>2d967655-4a7a-47c9-85a9-f0c1083c2f07<TURN>2<SENT>0	i want new cable service	O O O service_type O	startserviceintent
2d967655-4a7a-47c9-85a9-f0c1083c2f07	4	0	<CONV>2d967655-4a7a-47c9-85a9-f0c1083c2f07<TURN>4<SENT>0	"53140 
 kenosha wi"	current_zipcode O O O	contentonly
2d967655-4a7a-47c9-85a9-f0c1083c2f07	6	0	<CONV>2d967655-4a7a-47c9-85a9-f0c1083c2f07<TURN>6<SENT>0	10 gb	datacategoryvalues datacategoryvalues	contentonly
2d967655-4a7a-47c9-85a9-f0c1083c2f07	8	0	<CONV>2d967655-4a7a-47c9-85a9-f0c1083c2f07<TURN>8<SENT>0	ok	O	confirmation
2d967655-4a7a-47c9-85a9-f0c1083c2f07	10	0	<CONV>2d967655-4a7a-47c9-85a9-f0c1083c2f07<TURN>10<SENT>0	no	O	contentonly
67ab5480-4286-4b57-b001-77814cbf59dc	0	0	<CONV>67ab5480-4286-4b57-b001-77814cbf59dc<TURN>0<SENT>0	hello	O	openinggreeting
67ab5480-4286-4b57-b001-77814cbf59dc	4	0	<CONV>67ab5480-4286-4b57-b001-77814cbf59dc<TURN>4<SENT>0	lillyhub 447586	O current_zipcode	contentonly
67ab5480-4286-4b57-b001-77814cbf59dc	8	0	<CONV>67ab5480-4286-4b57-b001-77814cbf59dc<TURN>8<SENT>0	no	O	rejection
67ab5480-4286-4b57-b001-77814cbf59dc	10	0	<CONV>67ab5480-4286-4b57-b001-77814cbf59dc<TURN>10<SENT>0	yes	O	confirmation
67ab5480-4286-4b57-b001-77814cbf59dc	14	0	<CONV>67ab5480-4286-4b57-b001-77814cbf59dc<TURN>14<SENT>0	nothing	O	rejection
bc5c0c8c-5874-42b7-9871-4244886b3edf	0	0	<CONV>bc5c0c8c-5874-42b7-9871-4244886b3edf<TURN>0<SENT>0	good morning	O O	openinggreeting
bc5c0c8c-5874-42b7-9871-4244886b3edf	2	0	<CONV>bc5c0c8c-5874-42b7-9871-4244886b3edf<TURN>2<SENT>0	i wish to purchase new cable service	O O O O O service_type O	startserviceintent
bc5c0c8c-5874-42b7-9871-4244886b3edf	4	0	<CONV>bc5c0c8c-5874-42b7-9871-4244886b3edf<TURN>4<SENT>0	indianapolis city	current_city O	contentonly
bc5c0c8c-5874-42b7-9871-4244886b3edf	5	0	<CONV>bc5c0c8c-5874-42b7-9871-4244886b3edf<TURN>5<SENT>0	zip code 46202	O O current_zipcode	contentonly
bc5c0c8c-5874-42b7-9871-4244886b3edf	7	0	<CONV>bc5c0c8c-5874-42b7-9871-4244886b3edf<TURN>7<SENT>0	good plans	O O	outofdomain
bc5c0c8c-5874-42b7-9871-4244886b3edf	8	0	<CONV>bc5c0c8c-5874-42b7-9871-4244886b3edf<TURN>8<SENT>0	also i need phone and internet services	O O O O O service_type O	startserviceintent
bc5c0c8c-5874-42b7-9871-4244886b3edf	8	1	<CONV>bc5c0c8c-5874-42b7-9871-4244886b3edf<TURN>8<SENT>1	please share the best plan for above	O O O O O O O	getinformationintent
bc5c0c8c-5874-42b7-9871-4244886b3edf	10	0	<CONV>bc5c0c8c-5874-42b7-9871-4244886b3edf<TURN>10<SENT>0	perfect	O	confirmation
bc5c0c8c-5874-42b7-9871-4244886b3edf	11	0	<CONV>bc5c0c8c-5874-42b7-9871-4244886b3edf<TURN>11<SENT>0	please book for me 10 gb plan	O O O O datacategoryvalues datacategoryvalues O	contentonly
bc5c0c8c-5874-42b7-9871-4244886b3edf	13	0	<CONV>bc5c0c8c-5874-42b7-9871-4244886b3edf<TURN>13<SENT>0	yes	O	confirmation
bc5c0c8c-5874-42b7-9871-4244886b3edf	13	1	<CONV>bc5c0c8c-5874-42b7-9871-4244886b3edf<TURN>13<SENT>1	very cleared	O O	confirmation
bc5c0c8c-5874-42b7-9871-4244886b3edf	14	0	<CONV>bc5c0c8c-5874-42b7-9871-4244886b3edf<TURN>14<SENT>0	thank you and have a great day	O O O O O O O	thankyou
b03a5c39-dfad-4057-a3f0-aab2c78b2858	0	0	<CONV>b03a5c39-dfad-4057-a3f0-aab2c78b2858<TURN>0<SENT>0	hi	O	openinggreeting
b03a5c39-dfad-4057-a3f0-aab2c78b2858	2	0	<CONV>b03a5c39-dfad-4057-a3f0-aab2c78b2858<TURN>2<SENT>0	i want cable connection	O O service_type O	startserviceintent
b03a5c39-dfad-4057-a3f0-aab2c78b2858	4	0	<CONV>b03a5c39-dfad-4057-a3f0-aab2c78b2858<TURN>4<SENT>0	chennai 625004	current_city O	contentonly
b03a5c39-dfad-4057-a3f0-aab2c78b2858	6	0	<CONV>b03a5c39-dfad-4057-a3f0-aab2c78b2858<TURN>6<SENT>0	5 gb	datacategoryvalues datacategoryvalues	contentonly
b03a5c39-dfad-4057-a3f0-aab2c78b2858	8	0	<CONV>b03a5c39-dfad-4057-a3f0-aab2c78b2858<TURN>8<SENT>0	ok	O	confirmation
