conversationId	turnNumber	sentenceNumber	utteranceId	utterance	slot-labels	intent
9b7b9e5a-8ec5-4ba5-be6f-0224e95a8370	0	0	<CONV>9b7b9e5a-8ec5-4ba5-be6f-0224e95a8370<TURN>0<SENT>0	hai nice you meet you	O O O O O	openinggreeting
9b7b9e5a-8ec5-4ba5-be6f-0224e95a8370	2	0	<CONV>9b7b9e5a-8ec5-4ba5-be6f-0224e95a8370<TURN>2<SENT>0	dear i want some yamaha keyboard so please share the details	O O O O O O O O O O O	startorder
9b7b9e5a-8ec5-4ba5-be6f-0224e95a8370	4	0	<CONV>9b7b9e5a-8ec5-4ba5-be6f-0224e95a8370<TURN>4<SENT>0	saiva 7412	company_name password	contentonly
9b7b9e5a-8ec5-4ba5-be6f-0224e95a8370	10	0	<CONV>9b7b9e5a-8ec5-4ba5-be6f-0224e95a8370<TURN>10<SENT>0	okay thank you	O O O	confirmation
9b7b9e5a-8ec5-4ba5-be6f-0224e95a8370	12	0	<CONV>9b7b9e5a-8ec5-4ba5-be6f-0224e95a8370<TURN>12<SENT>0	no nothing	O O	rejection
17abe74f-5cae-4141-9686-2f65ee63cdfe	1	0	<CONV>17abe74f-5cae-4141-9686-2f65ee63cdfe<TURN>1<SENT>0	hi	O	openinggreeting
17abe74f-5cae-4141-9686-2f65ee63cdfe	4	0	<CONV>17abe74f-5cae-4141-9686-2f65ee63cdfe<TURN>4<SENT>0	music cafe	company_name company_name	contentonly
17abe74f-5cae-4141-9686-2f65ee63cdfe	5	0	<CONV>17abe74f-5cae-4141-9686-2f65ee63cdfe<TURN>5<SENT>0	1583	password	contentonly
17abe74f-5cae-4141-9686-2f65ee63cdfe	7	0	<CONV>17abe74f-5cae-4141-9686-2f65ee63cdfe<TURN>7<SENT>0	models example	O O	outofdomain
17abe74f-5cae-4141-9686-2f65ee63cdfe	9	0	<CONV>17abe74f-5cae-4141-9686-2f65ee63cdfe<TURN>9<SENT>0	yeah	O	confirmation
17abe74f-5cae-4141-9686-2f65ee63cdfe	10	0	<CONV>17abe74f-5cae-4141-9686-2f65ee63cdfe<TURN>10<SENT>0	show me please	O O O	outofdomain
17abe74f-5cae-4141-9686-2f65ee63cdfe	12	0	<CONV>17abe74f-5cae-4141-9686-2f65ee63cdfe<TURN>12<SENT>0	psrf 51	order_number order_number	contentonly
17abe74f-5cae-4141-9686-2f65ee63cdfe	13	0	<CONV>17abe74f-5cae-4141-9686-2f65ee63cdfe<TURN>13<SENT>0	ok	O	confirmation
17abe74f-5cae-4141-9686-2f65ee63cdfe	15	0	<CONV>17abe74f-5cae-4141-9686-2f65ee63cdfe<TURN>15<SENT>0	ok	O	confirmation
